"Date","[10,000,000 - infinity) coins","[1,000,000 - 10,000,000) coins","[100,000  - 1,000,000) coins","[10,000 - 100,000) coins","[1,000 - 10,000) coins","[100 - 1,000) coins","[10 - 100) coins","[1 - 10) coins","[0.1 - 1) coins","[0.01 - 0.1) coins","[0.001 - 0.01) coins","[0 - 0.001) coins"
"2017-11-09T00:00:00.000Z","8.285714285714286","28.142857142857142","547.7142857142857","3662","5379.142857142857","2565","538.1428571428571","256","214.85714285714286","77.71428571428571","41.857142857142854","203.57142857142858"
"2017-11-16T00:00:00.000Z","8","26.571428571428573","562.5714285714286","3774.5714285714284","5572.714285714285","2674.4285714285716","558","266","226.85714285714286","79.57142857142857","47","224.28571428571428"
"2017-11-23T00:00:00.000Z","8","24.428571428571427","583.1428571428571","3884.714285714286","5743.571428571428","2771.4285714285716","582.7142857142857","277","245.14285714285714","81.57142857142857","47.714285714285715","238.85714285714286"
"2017-11-30T00:00:00.000Z","8.571428571428571","24.142857142857142","476.57142857142856","3922.714285714286","5929","2880.714285714286","613.4285714285714","289.14285714285717","256.85714285714283","86.57142857142857","48","257"
"2017-12-07T00:00:00.000Z","9.142857142857142","24.428571428571427","349.2857142857143","2532.8571428571427","4723","3064.5714285714284","680.7142857142857","296.14285714285717","274.14285714285717","89","49.142857142857146","293.42857142857144"
"2017-12-14T00:00:00.000Z","9","25.714285714285715","330.2857142857143","2085.285714285714","4479.714285714285","3340.5714285714284","751.8571428571429","306.85714285714283","294.85714285714283","101","58.285714285714285","346.2857142857143"
"2017-12-21T00:00:00.000Z","9","25.571428571428573","319.14285714285717","2091.5714285714284","4722.571428571428","3721.714285714286","854.7142857142857","319.7142857142857","309.2857142857143","108.28571428571429","68.42857142857143","403.2857142857143"
"2017-12-28T00:00:00.000Z","9","27","321.42857142857144","2166.714285714286","4972","4099.714285714285","967.5714285714286","328.42857142857144","317","112","72","433.85714285714283"
"2018-01-04T00:00:00.000Z","9","28.142857142857142","322.7142857142857","2261.285714285714","5525","4793.142857142857","1133.2857142857142","339.7142857142857","334.42857142857144","116.14285714285714","78.71428571428571","442.2857142857143"
"2018-01-11T00:00:00.000Z","9","30.714285714285715","327","2334","5942.714285714285","5404","1297.7142857142858","355.57142857142856","349","116.85714285714286","81.42857142857143","462.14285714285717"
"2018-01-18T00:00:00.000Z","9","30.428571428571427","326.42857142857144","2364.285714285714","6154","5810","1385.857142857143","372.57142857142856","360.2857142857143","117.28571428571429","82.14285714285714","487.2857142857143"
"2018-01-25T00:00:00.000Z","9","29","330.85714285714283","2366.1428571428573","6272.714285714285","6090.428571428572","1454.7142857142858","389.7142857142857","369.2857142857143","119.14285714285714","83.28571428571429","514.5714285714286"
"2018-02-01T00:00:00.000Z","9","29.428571428571427","335.2857142857143","2375.5714285714284","6377.714285714285","6291.428571428572","1492.142857142857","400.14285714285717","380.42857142857144","119.71428571428571","86","526.2857142857143"
"2018-02-08T00:00:00.000Z","8.142857142857142","32.142857142857146","346.7142857142857","2395","6485.714285714285","6428.428571428572","1521","407.7142857142857","387","121.28571428571429","87.57142857142857","529.5714285714286"
"2018-02-15T00:00:00.000Z","8","31.857142857142858","348","2414.1428571428573","6628.714285714285","6622.428571428572","1572.5714285714287","418.42857142857144","396.7142857142857","123.71428571428571","90.42857142857143","540.5714285714286"
"2018-02-22T00:00:00.000Z","8","33.285714285714285","350.57142857142856","2430.4285714285716","6745.142857142857","6843.285714285715","1621.7142857142858","431.42857142857144","402.2857142857143","128.71428571428572","92.42857142857143","548.4285714285714"
"2018-03-01T00:00:00.000Z","8","34.285714285714285","351.42857142857144","2450.714285714286","6846.857142857143","7024.142857142857","1673.142857142857","440.14285714285717","407","131.42857142857142","95","557.1428571428571"
"2018-03-08T00:00:00.000Z","9","33.57142857142857","356.85714285714283","2488.285714285714","6971.714285714285","7183","1722.7142857142858","446.14285714285717","412.42857142857144","133.28571428571428","97.71428571428571","563.7142857142857"
"2018-03-15T00:00:00.000Z","9","32.285714285714285","354.42857142857144","2500.285714285714","7026.714285714285","7285.571428571428","1757.7142857142858","452","420.2857142857143","135.14285714285714","98.71428571428571","570.1428571428571"
"2018-03-22T00:00:00.000Z","9","32.57142857142857","351.7142857142857","2501.285714285714","7058.142857142857","7365.857142857143","1785.4285714285713","460.2857142857143","423.14285714285717","138.85714285714286","100","589.2857142857143"
"2018-03-29T00:00:00.000Z","9","30.857142857142858","353.85714285714283","2504.714285714286","7072.571428571428","7429.571428571428","1795.857142857143","466.14285714285717","426.14285714285717","139.71428571428572","100.71428571428571","603.8571428571429"
"2018-04-05T00:00:00.000Z","9","31","355.14285714285717","2508.714285714286","7086.857142857143","7470.285714285715","1811.142857142857","465.7142857142857","429","140","101.14285714285714","614.1428571428571"
"2018-04-12T00:00:00.000Z","9","30.714285714285715","358.57142857142856","2511.4285714285716","7123.428571428572","7525.285714285715","1833.7142857142858","471.2857142857143","433.57142857142856","142.28571428571428","102.57142857142857","619.4285714285714"
"2018-04-19T00:00:00.000Z","9","32.142857142857146","358.2857142857143","2517.8571428571427","7145.285714285715","7594","1854.5714285714287","474.85714285714283","440.2857142857143","144","104.71428571428571","648.4285714285714"
"2018-04-26T00:00:00.000Z","9","33.142857142857146","360.14285714285717","2524.1428571428573","7120.857142857143","7606.714285714285","1877.7142857142858","484.85714285714283","442.14285714285717","147.85714285714286","107.28571428571429","772.7142857142857"
"2018-05-03T00:00:00.000Z","9","33.42857142857143","362.57142857142856","2536","7135.142857142857","7698.714285714285","1901.5714285714287","491.7142857142857","445.85714285714283","150.14285714285714","109.28571428571429","786"
"2018-05-10T00:00:00.000Z","9","32.142857142857146","365.42857142857144","2534.714285714286","7167.142857142857","7784.285714285715","1925.7142857142858","497.85714285714283","450.85714285714283","152.57142857142858","111","796.7142857142857"
"2018-05-17T00:00:00.000Z","9","30.714285714285715","371.42857142857144","2532.1428571428573","7194.142857142857","7843.571428571428","1945","500.7142857142857","456.57142857142856","154.42857142857142","112.42857142857143","804"
"2018-05-24T00:00:00.000Z","9","31.571428571428573","369.2857142857143","2530.5714285714284","7199","7881.714285714285","1957.7142857142858","503.7142857142857","463.7142857142857","155.42857142857142","115","808.2857142857143"
"2018-05-31T00:00:00.000Z","9","30.714285714285715","371.7142857142857","2527.714285714286","7197.857142857143","7913.714285714285","1965.7142857142858","505.14285714285717","463.14285714285717","156.14285714285714","115","818.2857142857143"
"2018-06-07T00:00:00.000Z","9","30.571428571428573","370.57142857142856","2522.714285714286","7182.428571428572","7927.285714285715","1972.142857142857","510.2857142857143","463.7142857142857","157.42857142857142","115","830.4285714285714"
"2018-06-14T00:00:00.000Z","9","32","367.57142857142856","2514.8571428571427","7179.428571428572","7946.714285714285","1977.5714285714287","514.2857142857143","467.2857142857143","158","115.71428571428571","835.8571428571429"
