,timeStamp,volume.eth,volume.eur,volume.usd
290,1590710400000,0,0,0
291,1590796800000,0,0,0
292,1590883200000,0,0,0
293,1590969600000,0,0,0
294,1591056000000,0,0,0
295,1591142400000,0,0,0
296,1591228800000,0,0,0
297,1591315200000,0,0,0
298,1591401600000,0,0,0
299,1591488000000,0,0,0
300,1591574400000,0,0,0
301,1591660800000,0,0,0
302,1591747200000,0,0,0
303,1591833600000,0,0,0
304,1591920000000,0,0,0
305,1592006400000,0,0,0
306,1592092800000,0,0,0
307,1592179200000,0,0,0
308,1592265600000,0,0,0
309,1592352000000,0,0,0
310,1592438400000,0,0,0
311,1592524800000,0,0,0
312,1592611200000,0,0,0
313,1592697600000,0,0,0
314,1592784000000,0,0,0
315,1592870400000,0,0,0
316,1592956800000,0,0,0
317,1593043200000,0,0,0
318,1593129600000,0,0,0
319,1593216000000,0,0,0
320,1593302400000,0,0,0
321,1593388800000,0,0,0
322,1593475200000,0,0,0
323,1593561600000,0,0,0
324,1593648000000,0,0,0
325,1593734400000,0,0,0
326,1593820800000,0,0,0
327,1593907200000,0,0,0
328,1593993600000,0,0,0
329,1594080000000,0,0,0
330,1594166400000,0,0,0
331,1594252800000,0,0,0
332,1594339200000,0,0,0
333,1594425600000,0,0,0
334,1594512000000,0,0,0
335,1594598400000,0,0,0
336,1594684800000,0,0,0
337,1594771200000,0,0,0
338,1594857600000,0,0,0
339,1594944000000,0,0,0
340,1595030400000,0,0,0
341,1595116800000,0,0,0
342,1595203200000,0,0,0
343,1595289600000,0,0,0
344,1595376000000,0,0,0
345,1595462400000,0,0,0
346,1595548800000,0,0,0
347,1595635200000,0,0,0
348,1595721600000,0,0,0
349,1595808000000,0,0,0
350,1595894400000,0,0,0
351,1595980800000,0,0,0
352,1596067200000,0,0,0
353,1596153600000,463.41125635001,136027.316133,160083.340951
354,1596240000000,1168.6043979399944,373442.655265,439195.249243
355,1596326400000,2580.9142976838257,836938.09768,983599.666728
356,1596412800000,1885.6501630280115,620921.850639,728710.653492
357,1596499200000,1189.0376611444767,397532.855578,467095.100684
358,1596585600000,1926.5446009409643,645486.947743,762579.945332
359,1596672000000,2389.9558311590904,802774.451539,950015.117191
360,1596758400000,1045.281624431862,345661.892029,407703.905311
361,1596844800000,5020.201500348921,1661653.325122,1953695.156985
362,1596931200000,1351.1041890370402,450350.592307,529866.369188
363,1597017600000,251.3056159545029,84563.456863,99597.765892
364,1597104000000,735.3320574747086,241099.593873,283080.446287
365,1597190400000,727.1736039959177,237366.950927,279298.073447
366,1597276800000,9.40559848598359,3139.776887,3701.479228
