datetime,balance_0xe0362,balance_0x75398,balance_0x5560d,balance_0xdad22,balance_0xbe697,balance_0xf37c3,balance_nodeops,Sum_treasury,Total_supply,Circulating_supply,Treasury (% of total supply)
2018-04-21,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-04-22,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-04-23,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-04-24,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-04-25,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-04-26,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-04-27,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-04-28,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-04-29,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-04-30,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-01,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-02,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-03,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-04,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-05,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-06,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-07,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-08,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-09,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-10,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-11,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-12,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-13,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-14,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-15,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-16,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-17,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-18,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-19,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-20,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-21,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-22,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-23,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-24,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-25,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
2018-05-26,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
