timestamp,aave_earn_apr,aave_borrow_apr,aave_link_col_ratio,aave_link_outst_debt,aave_link_supp_vol
2020-04-13,0.0045,0.2092,5.7562,108683.5981,5196300.2202
2020-04-14,0.0057,0.23600000000000002,5.657,122758.3477,5201193.3753
2020-04-15,0.0072,0.2656,5.5574,138702.8714,5221883.0898
2020-04-16,0.0076,0.2739,5.4235,143193.4316,5227017.1074
2020-04-17,0.0079,0.2781,5.7855,147000.7823,5286703.7911
2020-04-18,0.0078,0.2774,5.7241,147606.6977,5320951.5003
2020-04-19,0.0079,0.2787,5.835,148385.2422,5324630.7876
2020-04-20,0.0057,0.2353,6.4921,124442.0674,5287571.8237
2020-04-21,0.0058,0.2384,6.2473,125106.674,5247584.7111
2020-04-22,0.0065,0.2523,5.5926,132615.3741,5257170.0604
2020-04-23,0.0068,0.2579,5.6806,135307.3591,5247471.15
2020-04-24,0.0058,0.2384,5.2357,125451.2574,5262871.2334
2020-04-25,0.006,0.2432,5.425,126208.2521,5188986.277
2020-04-26,0.0054,0.2289,5.4048,119138.9709,5204625.0378
2020-04-27,0.0055,0.2314,5.4476,120903.6689,5223980.2416
2020-04-28,0.0064,0.2513,5.2151,131446.2035,5231303.0688
2020-04-29,0.0047,0.2144,5.5836,112899.8891,5264987.5647
2020-04-30,0.0051,0.2228,5.5912,118346.9614,5311008.6831
2020-05-01,0.005,0.2206,5.3454,119629.7208,5422740.4539
2020-05-02,0.0052,0.2262,5.442,122714.5834,5425014.1665
2020-05-03,0.0033,0.1778,5.365,96411.0246,5423369.804
2020-05-04,0.0027,0.161,5.2504,87344.811,5423634.498
2020-05-05,0.003,0.1705,5.3729,92245.0934,5408946.3302
2020-05-06,0.0031,0.1721,5.0176,93095.196,5409843.6119
2020-05-07,0.0031,0.1732,5.1892,93964.9924,5425337.7863
2020-05-08,0.0023,0.1467,5.3226,79687.1926,5430865.8328
2020-05-09,0.0023,0.146,5.5772,79687.1926,5459051.5861
2020-05-10,0.0045,0.2083,5.6298,113275.0499,5438970.1329
2020-05-11,0.0039,0.1943,5.4477,106572.1156,5485951.1347
2020-05-12,0.0038,0.1913,5.3774,106572.1156,5571253.4946
2020-05-13,0.0039,0.1952,5.2079,109576.6688,5612658.2641
2020-05-14,0.0042,0.2028,5.337000000000001,114629.9529,5652278.661
2020-05-15,0.0043,0.2052,5.4657,116229.9545,5665263.6065
2020-05-16,0.0047,0.2149,5.3242,121819.4311,5668755.8417
2020-05-17,0.0047,0.2141,5.3492,122274.44699999999,5711631.5663
2020-05-18,0.0046,0.212,5.3392,123789.7966,5840430.7771
2020-05-19,0.0045,0.2096,5.4063,122780.7951,5857815.9075
2020-05-20,0.0045,0.2098,5.5049,123094.1504,5866212.791
2020-05-21,0.0044,0.2082,5.6848,122101.2002,5865320.0695
2020-05-22,0.0044,0.2069,5.4322,122100.823,5901530.7608
2020-05-23,0.0042,0.203,5.5836,123355.8694,6075960.3655
2020-05-24,0.0044,0.2062,5.3519,123355.8694,5982885.3785
2020-05-25,0.0044,0.2061,5.2853,123805.7753,6008376.0535
2020-05-26,0.0044,0.2066,5.291,124628.2877,6033128.0291
2020-05-27,0.0044,0.2075,5.1904,124628.2877,6007043.0114
2020-05-28,0.0043,0.2039,5.2078,124628.2877,6111210.2893
2020-05-29,0.0043,0.2036,5.2617,124628.2877,6120347.8422
2020-05-30,0.0044,0.2084,5.2886,126945.4299,6091669.6686
2020-05-31,0.0061,0.2439,5.4881,150934.6308,6189183.1437
2020-06-01,0.006,0.2432,5.4785,150929.6308,6206051.9856
2020-06-02,0.0061,0.2446,5.6474,151942.0641,6212794.275
2020-06-03,0.0061,0.2445,5.4441,151932.9948,6214152.6008
